Qualification Ref,Qualification Level,From which date,To which date,Qualification Name,Awarding Organisation Title,Qualification Number,Notes/Additional Requirements,
EYQ-137,5,null,Aug-14,BTEC Higher National Diploma in Advanced Practice in Work with Children and Families Mandatory units,Edexcel (now Pearson Education Ltd),,None,
EYQ-138,5,null,Aug-14,CertHE in Combined Studies and Education Studies,University of Worcester,,None,
EYQ-139,5,null,Aug-14,Early Childhood Studies Steiner,Crossfields Institute,,None,
EYQ-140,5,null,Aug-14,Early Years Sure Start Sector Endorsed Foundation Degree,University College Northampton,,None,
EYQ-141,5,null,Aug-14,Foundation Degree in Arts in Children's Care Learning and Development,University Campus Suffolk,,None,
EYQ-142,5,null,Aug-14,"Foundation Degree in Children, Families and Community Health",De Montfort University,,None,
EYQ-143,5,null,Aug-14,Foundation Degree in Working with Children,University of Southampton,,None,
EYQ-144,5,null,Aug-14,Foundation Degree Science in Health and Social Care Early Years Care,University of Greenwich,,None,
EYQ-145,5,null,Aug-14,Foundation Degree Supporting Children's Development and Learning,University of Reading,,None,
EYQ-146,5,null,Aug-14,Level 5 Diploma in Playwork NVQ,CACHE Council for Awards in Care Health and Education,,None,
EYQ-147,5,null,Aug-14,A Higher National Diploma in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The qualifications must have included an element of assessed performance in an early years setting.,
EYQ-152,5,null,Aug-14,Diploma of Higher Education in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The qualifications must have included an element of assessed performance in an early years setting.,
EYQ-157,5,null,Aug-14,Foundation Degree in Supporting Learning,Various Awarding Organisations,,If the practitioner had their practice assessed in the Early Years Foundation Stage in the maintained sector.,
EYQ-158,5,null,Aug-14,Foundation Degree in Early Years or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,None,
EYQ-162,5,null,Aug-14,Sector endorsed Foundation Degrees in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,The University can confirm that the Foundation Degree was sector endorsed. This applies to Foundation Degrees started prior to Sept 2014.,
EYQ-167,6,null,Aug-14,Joint degrees and joint honours degrees at level 6 in Early Years or Early Years Practice or Early Childhood Studies or Early Childhood Education and Care or Childcare or Playwork,Various Awarding Organisations,,"Considered full and relevant for level 3 EYFS staff:child ratios if the mandatory core content includes a focus on early years, childcare and playwork with an element of assessed performance in an early years setting.",
EYQ-173,6,null,Aug-14,Ordinary degrees and honours degrees at level 6 in Early Years or Early Years Practice or Early Childhood Studies or Early Childhood Education and Care or Childcare or Playwork,Various Awarding Organisations,,Considered full and relevant for level 3 EYFS staff:child ratios if the qualification included an element of assessed performance in an early years setting.,
EYQ-179,6,null,Aug-14,Post graduate certificates and diplomas at level 6 in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,Considered full and relevant for level 3 EYFS staff:child ratios if the qualification included an element of assessed performance in an early years setting.,
EYQ-184,6,null,Aug-14,BA Education Studies and Early Childhood Education,Anglia Ruskin University,,None,
EYQ-185,6,null,Aug-14,BA (Hons) Childhood Studies,Nottingham Trent University,,None,
EYQ-186,6,null,Aug-14,BA Hons in Childhood Youth Studies,Open University OU,,None,
EYQ-187,6,null,Aug-14,BA Hons in Performing Arts Community Education and Early Childhood Studies,Oxford Brookes University,,None,
EYQ-188,6,null,Aug-14,BA Hons in Work Based Learning Studies Preschool Age Education,Middlesex University,,None,
EYQ-189,6,null,Aug-14,BA Hons Primary Education,Manchester Metropolitan University,,None,
EYQ-190,6,null,Aug-14,BA in Education and Childhood Studies,Glyndwr University,,None,
EYQ-191,6,null,Aug-14,BA Studies in Education,University of the West of England,,None,
EYQ-192,6,null,Aug-14,BSc in Childhood Studies,Various Awarding Organisations,,None,
EYQ-193,6,null,Aug-14,Honours degree in education studies,Various Awarding Organisations,,Honours degrees from various awarding organisations are full and relevant providing there was an element of assessed performance in an early years setting.,
EYQ-194,6,null,Aug-14,Performing Arts Community Education and Early Childhood Studies,Oxford Brookes University,,None,
EYQ-195,6,null,Aug-14,Post Graduate Certificate in Early Childhood Education and Care mandatory units,University of Hull,,None,
EYQ-196,6,null,Aug-14,Post Graduate Certificate in Early Years,All Higher Education Institutes,,None,
EYQ-197,6,null,Aug-14,Post Graduate Diploma in Early Years,All Higher Education Institutes,,None,
EYQ-198,6,null,Aug-14,Professional Graduate Certificate in Early Years,University of Winchester,,None,
EYQ-199,6,null,Aug-14,Professional Graduate Certificate in Early Years Practice,University of Winchester,,None,
EYQ-200,6,null,Aug-14,Early Years Professional Status (EYPS),Various Awarding Organisations,,Can count in the EYFS staff:child ratios at levels 3 and 6 when they have been awarded the status.,
EYQ-201,6,null,Aug-14,Early Years Teacher Status (EYTS),Various Awarding Organisations,,Can count in the EYFS staff:child ratios at levels 3 and 6 when they have been awarded the status.,
EYQ-202,6,null,Aug-14,Qualified Teacher Status (QTS) before 1 September 2014,Various Awarding Organisations,,Can count in the EYFS staff:child ratios at levels 3 and 6 when they have been awarded the status.,
EYQ-203,7,null,Aug-14,Education Early Childhood Studies,University of the West of England,,None,
EYQ-204,7,null,Aug-14,Postgraduate Certificate in Early Childhood Studies,University of Huddersfield,,None,
EYQ-205,7,null,Aug-14,Postgraduate Certificate Play and Playwork,University of Gloucester,,None,
EYQ-206,7,null,Aug-14,Postgraduate certificates and diplomas at level 7 in Early Years or Early Years Practice or Early Childhood Studies or Childcare or Playwork,Various Awarding Organisations,,Considered full and relevant for level 3EYFS staff:child ratios if the qualification included an element of assessed performance in an early years setting.,
EYQ-211,7,null,Aug-14,Higher National Certificate (HNC) Early Education and Childcare,Scottish Qualifications Authority,,Has to be SCQF level 7,
EYQ-212,2,Sep-19,,BIIAB Level 2 Diploma for the Early Years Practitioner,BIIAB,603/5227/9,None,
EYQ-213,2,Sep-19,,City & Guilds Level 2 Diploma for the Early Years Practitioner (England),City & Guilds,603/4935/9,None,
EYQ-214,2,Sep-19,,Level 2 Diploma for the Early Years Practitioner,iCan Qualifications (iCQ),603/5193/7,None,
EYQ-215,2,Sep-19,,Level 2 Diploma for the Early Years Practitioner,Innovate Awarding,603/4814/8,None,
EYQ-216,2,Sep-19,,NCFE CACHE Level 2 Diploma for the Early Years Practitioner,NCFE,603/3723/0,Where the qualification certificate shows: NCFE CACHE Level 2 Diploma for the Early Years Practitioner (Knowledge only pathway)- the holder cannot count in the level 2 ratios.,
EYQ-217,2,Sep-19,,"BTEC Level 2 Diploma in Children's Play, Learning and Development (Early Years Practitioner)",Pearson Education Ltd,603/0509/5,None,
EYQ-218,2,Sep-19,,Pearson BTEC Level 2 Diploma for Early Years Practitioners,Pearson Education Ltd,603/4999/2,None,
EYQ-219,2,Sep-19,,Skillsfirst Level 2 Diploma for the Early Years Practitioner (RQF),Skillsfirst,603/5179/2,None,
EYQ-220,2,Sep-19,,TQUK Level 2 Diploma for the Early Years Practitioner (RQF),TQUK,603/5096/9,None,
EYQ-221,2,Sep-19,,Level 2 Children and Young People's Workforce (CYPW) Intermediate Apprenticeship Framework (early years pathway),Various Awarding Organisations,Not required,From 1 September 2019 the level 2 CYPW Intermediate Apprenticeship Framework (early years pathway) will include the new DfE approved EYP qualifications listed on this spreadsheet. The framework will continue to be full and relevant for the level 2 ratios.,
EYQ-222,3,Sep-14,,BIIAB Level 3 Diploma in Children's Learning and Development (Early Years Educator),BIIAB,601/7786/X,Qualification certificate may also show (QCF) or (VRQ) in titling,
EYQ-223,3,Sep-14,,NCFE CACHE Level 3 Diploma in Early Years Education and Care (Early Years Educator),NCFE,601/2147/6,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling. 
Where the qualification certificate shows: NCFE CACHE Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios",
EYQ-224,3,Sep-14,Aug-24,NCFE CACHE Level 3 Diploma for the Early Years Workforce ((Early Years Educator),NCFE,601/2629/2,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling. 
Where the qualification certificate shows: NCFE CACHE Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios",
EYQ-225,3,Sep-14,,NCFE CACHE Level 3 Diploma in Childcare and Education (Early Years Educator),NCFE,601/4000/8,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling. 
Where the qualification certificate shows: NCFE CACHE Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios.",
EYQ-226,3,Sep-14,Aug-24,NCFE CACHE Level 3 Diploma in Montessori Pedagogy Birth to Seven (Early Years Educator),NCFE,601/4573/0,Qualification certificate may previously state CACHE,
EYQ-227,3,Sep-14,,NCFE CACHE Level 3 Diploma in Holistic Baby and Child Care (Early Years Educator),NCFE,601/5636/3,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling.",
EYQ-228,3,Sep-14,,City & Guilds Level 3 Diploma For the Early Years Practitioner (Early Years Educator),City & Guilds,601/3118/4,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-229,3,Sep-14,,City & Guilds Level 3 Advanced Technical Diploma for the Early Years Practitioner (Early Years Educator) (540),City & Guilds,601/3117/2,None,
EYQ-230,3,Sep-14,,City & Guilds Level 3 Advanced Technical Extended Diploma for the Early Years Practitioner (Early Years Educator) (1080),City & Guilds,601/7440/7,None,
EYQ-231,3,Sep-14,,Level 3 Diploma in Holistic Baby and Child Care (Early Years Educator),Crossfields Institute,603/7739/2,None,
EYQ-232,3,Sep-14,,FAQ Level 3 Diploma in Early Years Education and Childcare (Early Years Educator),FutureQuals,601/3816/6,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-233,3,Sep-14,,Focus Awards Level 3 Diploma for the Children's Workforce (Early Years Educator) (RQF),Focus Awards Limited,601/8715/3,None,
EYQ-234,3,Sep-14,,ICQ Level 3 Diploma in Children's Learning and Development (Early Years Educator) (RQF),iCan Qualifications (iCQ),601/7898/X,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-235,3,Sep-14,,ICQ Level 3 Diploma for the Early Years Educator,iCan Qualifications (iCQ),603/5943/2,None,
EYQ-236,3,Sep-14,,IAO Level 3 Diploma In Early Learning and Childcare (Early Years Educator),Innovate Awarding,601/3890/7,"Qualification certificate may also show (QCF) or (VRQ) in titling.
Qualification certificate may state Lifetime Awarding.",
EYQ-237,3,Sep-14,,NCFE Diploma for the Children's Workforce (Early Years Educator),NCFE,601/5436/6,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-238,3,Sep-14,,NCFE CACHE Technical Level 3 Diploma in Early Years Education and Care (Early Years Educator),NCFE,601/8438/3,"Qualification certificate may previously state CACHE.
Where the qualification certificate shows: NCFE CACHE  Technical Level 3 Diploma in Early Years Education and Care (Knowledge only pathway) - the holder cannot count in the ratios.",
EYQ-239,3,Sep-14,,NCFE CACHE Technical Level 3 Diploma in Childcare and Education (Early Years Educator),NCFE,601/8437/1,"Qualification certificate may previously state CACHE.
Where the qualification certificate shows: NCFE CACHE Technical Level 3 Diploma in Childcare and Education (Knowledge only pathway) - the holder cannot count in the ratios.",
EYQ-240,3,Sep-20,Jan-23,T Level Technical Qualification in Education and Childcare (Specialism - Early Years Educator) ,NCFE,603/5829/4,"The course must be assessed within the EYFS in an Early Years setting in England. 
Please note that the name of this qualification changed in February 2023. 
Qualifications achieved under either name are full and relevant provided that the start date for the qualification aligns with the date of the name change.",
EYQ-241,3,Feb-23,,T Level Technical Qualification in Education and Early Years (Specialism - Early Years Educator),NCFE,603/5829/4,"The course must be assessed within the EYFS in an Early Years setting in England. 
Please note that the name of this qualification changed in February 2023. 
Qualifications achieved under either name are full and relevant provided that the start date for the qualification aligns with the date of the name change.",
EYQ-242,3,Sep-14,,"Pearson BTEC Level 3 National Certificate in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/2525/1,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-243,3,Sep-14,,"Pearson BTEC Level 3 National Diploma in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/2527/5,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-244,3,Sep-14,,Pearson Edexcel Level 3 Diploma in Children's Learning and Development (Early Years Educator),Pearson Education Ltd,601/2963/3,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-245,3,Sep-14,,"Pearson BTEC Level 3 National Diploma in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/7571/0,Qualification certificate needs to include (Early Years Educator). If (Early Years Educator) does not appear after the qualification title it does not meet the EYE criteria.,
EYQ-246,3,Sep-14,,"Pearson BTEC Level 3 National Extended Diploma in Children's Play, Learning and Development (Early Years Educator)",Pearson Education Ltd,601/7572/2,Qualification certificate needs to include (Early Years Educator). If (Early Years Educator) does not appear after the qualification title it does not meet the EYE criteria.,
EYQ-247,3,Sep-14,,Diploma for the Children and Young Peoples Workforce (Early Years Educator) (QCF),Skillsfirst,601/4059/8,None,
EYQ-248,3,Sep-14,,Diploma for the Children and Young People's Workforce (Early Years Educator) (QCF),Skillsfirst,601/6793/2,None,
EYQ-249,3,Sep-14,,Skillfirst Level 3 Diploma for the Children and Young People's Workforce (Early Years Educator) (RQF),Skillsfirst,601/8151/5,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-250,3,Sep-14,Aug-24,TQUK Level 3 Diploma for the Children's Workforce (Early Years Educator) (RQF),Training Qualifications UK,601/7670/2,Qualification certificate may also show (QCF) or (VRQ) in titling.,
EYQ-251,4,Sep-14,,Level 4 Diploma in Steiner Waldorf Early Childhood Studies (Early Years Educator),Crossfields Institute,603/7741/0,None,
EYQ-252,4,Sep-14,,Certificate of Higher Education (Cert HE) in Montessori Early Childhood Practice,London Metropolitan University,Not required,None,
EYQ-253,4,Sep-14,,NCFE CACHE Level 4 Diploma Steiner Waldorf Early Childhood Studies (Early Years Educator),NCFE,601/5130/4,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling.",
EYQ-254,4,Sep-14,Aug-24,NCFE CACHE Level 4 Diploma in Montessori Pedagogy Birth to Seven (Early Years Educator),NCFE,601/4481/6,"Qualification certificate may previously state CACHE.
Qualification certificate may also show (QCF) or (VRQ) in titling.",
EYQ-255,4,Sep-14,,Pearson BTEC Level 4 HNC Diploma in Advanced Practice in Early Years Education,Pearson Education Ltd,601/8222/2,None,
